Computing Integrals
NVIDIA GeForce RTX 4060
Elapsed time:   11.07 Seconds

Number of basis functions                   (NBF)    = 718
Number of auxiliary basis functions         (NBFAUX) = 928
Inactive Doubly occupied orbitals up to     (NO1)    = 0
No. considered Strongly Doubly occupied MOs (NDOC)   = 54
No. considered Strongly Singly occupied MOs (NSOC)   = 0
NO. of Weakly occ. per St. Doubly occ.  MOs (NCWO)   = 1
Dimension of the Nat. Orb. subspace         (NBF5)   = 108
No. of electrons                                     = 108
    No. of alpha electrons                           = 54
    No. of beta electrons                            = 54
Multiplicity                                         = 1

Geometry
========
 N       0.0000000       0.0000000       4.0966500
 C       0.0000000       0.0000000       5.2389300
 H       0.0000000       0.0000000       6.3063400
 I       0.0000000       0.0000000       0.8379100
 C       0.0000000       0.0000000      -1.2574400
 C       0.0000000       1.2035100      -1.9485400
 C       0.0000000       1.1986200      -3.3357800
 C       0.0000000       0.0000000      -4.0323600
 C       0.0000000      -1.1986200      -3.3357800
 C       0.0000000      -1.2035100      -1.9485400
 H       0.0000000       2.1411600      -1.4086900
 H       0.0000000       2.1394500      -3.8714400
 H       0.0000000       0.0000000      -5.1147200
 H       0.0000000      -2.1394500      -3.8714400
 H       0.0000000      -2.1411600      -1.4086900

No violations of the orthonormality
No violations of the orthonormality
 
PNOF9/ADABelief Calculation
==================
 
  Nitext  Nit_orb  Time   Nit_occ  Time         Eelec          Etot           Ediff      maxdiff    MaxGrad_orb  Grad_occ
     1      10    2.4e+01   29    1.9e+01 -3464.12962307 -2762.92608587 -13463.12962307   0.013648   5.5e-02   3.4e-04 0.04
     2      20    2.4e+00    0    4.3e-02 -3466.18512872 -2764.98159152    -2.05550565   0.013648   5.5e-02   3.4e-04 0.04
     3      40    6.7e+00    5    8.0e-02 -3466.20172041 -2764.99818321    -0.01659168   0.014955   6.0e-02   1.6e-04 0.04
     4      40    5.2e+00    0    3.7e-02 -3466.20191587 -2764.99837867    -0.00019546   0.014955   6.0e-02   1.6e-04 0.04
     5      60    7.2e+00    2    7.0e-02 -3466.20659859 -2765.00306139    -0.00468273   0.010346   4.1e-02   1.9e-04 0.04
     6      60    8.3e+00    0    3.3e-02 -3466.20673508 -2765.00319788    -0.00013649   0.010346   4.1e-02   1.9e-04 0.04
     7      80    1.1e+01    2    5.1e-02 -3466.20698133 -2765.00344414    -0.00024626   0.001498   6.0e-03   2.3e-04 0.04
     8      80    9.5e+00    0    3.4e-02 -3466.20720729 -2765.00367009    -0.00022596   0.001597   6.4e-03   2.7e-04 0.04
     9      90    1.2e+01    1    5.5e-02 -3466.20819078 -2765.00465358    -0.00098349   0.002809   1.1e-02   2.7e-04 0.04
    10      90    1.0e+01    1    5.3e-02 -3466.20552952 -2765.00199232     0.00266126   0.001642   6.6e-03   2.8e-04 0.04
    11     100    1.2e+01    0    3.8e-02 -3466.20645620 -2765.00291900    -0.00092668   0.001710   6.8e-03   3.0e-04 0.04
    12     110    1.3e+01    2    1.4e-01 -3466.20582121 -2765.00228401     0.00063499   0.001342   5.4e-03   2.1e-04 0.04
    13     110    1.2e+01    0    3.8e-02 -3466.20759398 -2765.00405678    -0.00177277   0.001757   7.0e-03   1.9e-04 0.04
    14     120    1.7e+01    0    4.0e-02 -3466.20558063 -2765.00204343     0.00201335   0.001632   6.5e-03   2.7e-04 0.04
    15     130    1.5e+01    1    5.0e-02 -3466.20639465 -2765.00285746    -0.00081403   0.001553   6.2e-03   2.2e-04 0.04
    16     130    1.5e+01    2    6.2e-02 -3466.20708572 -2765.00354852    -0.00069106   0.001288   5.2e-03   1.9e-04 0.04
    17     130    1.7e+01    0    3.3e-02 -3466.20750108 -2765.00396388    -0.00041536   0.001023   4.1e-03   1.7e-04 0.04
    18     140    1.7e+01    0    4.5e-02 -3466.20724839 -2765.00371119     0.00025269   0.001529   6.1e-03   2.5e-04 0.04
    19     150    1.9e+01    1    5.9e-02 -3466.20610307 -2765.00256588     0.00114531   0.001274   5.1e-03   2.4e-04 0.04
    20     150    2.0e+01    2    5.8e-02 -3466.20613050 -2765.00259330    -0.00002743   0.001428   5.7e-03   1.8e-04 0.04
    21     150    1.7e+01    0    5.2e-02 -3466.20626533 -2765.00272814    -0.00013483   0.002590   1.0e-02   1.9e-04 0.04
    22     160    1.9e+01    1    5.6e-02 -3466.20699957 -2765.00346237    -0.00073424   0.001154   4.6e-03   2.3e-04 0.04
    23     160    1.8e+01    2    8.1e-02 -3466.20741372 -2765.00387652    -0.00041415   0.001384   5.5e-03   1.6e-04 0.04
    24     160    2.1e+01    0    3.6e-02 -3466.20675204 -2765.00321484     0.00066168   0.001673   6.7e-03   1.9e-04 0.04
    25     170    2.0e+01    2    6.7e-02 -3466.20659809 -2765.00306089     0.00015395   0.001085   4.3e-03   1.6e-04 0.04
    26     170    2.0e+01    0    3.9e-02 -3466.20578972 -2765.00225252     0.00080837   0.001569   6.3e-03   2.5e-04 0.04
    27     180    2.1e+01    2    6.5e-02 -3466.20718151 -2765.00364432    -0.00139180   0.001429   5.7e-03   1.6e-04 0.04
    28     180    2.3e+01    0    4.6e-02 -3466.20759912 -2765.00406192    -0.00041761   0.001327   5.3e-03   2.6e-04 0.04
    29     190    2.3e+01    2    4.6e-02 -3466.20648718 -2765.00294998     0.00111194   0.001129   4.5e-03   1.6e-04 0.04
    30     190    2.8e+01    2    5.5e-02 -3466.20787330 -2765.00433610    -0.00138611   0.001265   5.1e-03   1.4e-04 0.04
    31     190    2.3e+01    1    5.1e-02 -3466.20629527 -2765.00275807     0.00157803   0.001675   6.7e-03   1.7e-04 0.04
    32     190    2.3e+01    1    5.2e-02 -3466.20726410 -2765.00372690    -0.00096883   0.002092   8.4e-03   1.8e-04 0.04
    33     190    2.3e+01    2    6.7e-02 -3466.20729901 -2765.00376181    -0.00003491   0.002032   8.1e-03   1.3e-04 0.04
    34     190    2.5e+01    1    5.3e-02 -3466.20792418 -2765.00438698    -0.00062518   0.002754   1.1e-02   1.7e-04 0.04
    35     190    2.5e+01    1    4.5e-02 -3466.20620250 -2765.00266530     0.00172168   0.001313   5.3e-03   1.7e-04 0.04
    36     190    2.2e+01    1    4.9e-02 -3466.20738764 -2765.00385044    -0.00118514   0.001140   4.6e-03   1.9e-04 0.04
    37     190    2.3e+01    1    5.9e-02 -3466.20798711 -2765.00444991    -0.00059947   0.001301   5.2e-03   1.8e-04 0.04
    38     190    2.2e+01    1    5.8e-02 -3466.20884362 -2765.00530642    -0.00085651   0.001618   6.5e-03   1.8e-04 0.04
    39     190    2.3e+01    1    4.0e-02 -3466.20828280 -2765.00474560     0.00056082   0.001354   5.4e-03   1.9e-04 0.04
    40     190    2.3e+01    2    6.8e-02 -3466.20727003 -2765.00373284     0.00101276   0.001002   4.0e-03   1.3e-04 0.04
    41     190    2.4e+01    1    5.8e-02 -3466.20764034 -2765.00410314    -0.00037031   0.001930   7.7e-03   1.3e-04 0.04
    42     190    2.4e+01    1    6.8e-02 -3466.20857855 -2765.00504135    -0.00093821   0.001275   5.1e-03   1.6e-04 0.04
    43     190    2.5e+01    1    5.8e-02 -3466.20818343 -2765.00464623     0.00039512   0.001508   6.0e-03   1.3e-04 0.04
    44     190    2.3e+01    1    4.5e-02 -3466.20881007 -2765.00527287    -0.00062664   0.001283   5.1e-03   1.7e-04 0.04
    45     190    2.1e+01    1    5.3e-02 -3466.20816853 -2765.00463133     0.00064154   0.001207   4.8e-03   1.4e-04 0.04
    46     190    2.7e+01    1    4.4e-02 -3466.20659982 -2765.00306263     0.00156870   0.001688   6.8e-03   1.9e-04 0.04
    47     190    2.6e+01    1    5.3e-02 -3466.20847140 -2765.00493421    -0.00187158   0.002234   8.9e-03   1.5e-04 0.04
    48     190    2.5e+01    1    4.3e-02 -3466.20872381 -2765.00518661    -0.00025240   0.002141   8.6e-03   1.6e-04 0.04
    49     190    2.3e+01    1    4.3e-02 -3466.20878585 -2765.00524866    -0.00006205   0.001454   5.8e-03   1.5e-04 0.04
    50     190    2.4e+01    1    8.1e-02 -3466.20969328 -2765.00615608    -0.00090743   0.001789   7.2e-03   1.5e-04 0.04
    51     190    2.5e+01    1    3.8e-02 -3466.20924687 -2765.00570967     0.00044641   0.001153   4.6e-03   1.2e-04 0.04
    52     190    2.4e+01    0    3.2e-02 -3466.20942928 -2765.00589208    -0.00018241   0.001803   7.2e-03   2.0e-04 0.04
    53     200    2.6e+01    1    5.1e-02 -3466.20821595 -2765.00467875     0.00121333   0.001250   5.0e-03   1.7e-04 0.04
    54     200    2.6e+01    1    6.0e-02 -3466.20777242 -2765.00423522     0.00044353   0.001408   5.6e-03   1.5e-04 0.04
    55     200    2.9e+01    0    4.5e-02 -3466.20933611 -2765.00579891    -0.00156369   0.001702   6.8e-03   2.2e-04 0.04
    56     210    2.6e+01    1    5.9e-02 -3466.20856053 -2765.00502333     0.00077558   0.001221   4.9e-03   1.7e-04 0.04
    57     210    2.9e+01    0    4.9e-02 -3466.20815597 -2765.00461877     0.00040456   0.001227   4.9e-03   1.9e-04 0.04
    58     220    2.7e+01    0    4.6e-02 -3466.20868767 -2765.00515047    -0.00053171   0.001242   5.0e-03   2.2e-04 0.04
    59     230    3.3e+01    0    4.1e-02 -3466.20907485 -2765.00553765    -0.00038718   0.001267   5.1e-03   2.6e-04 0.04
    60     240    3.4e+01    2    7.1e-02 -3466.20852705 -2765.00498985     0.00054780   0.001403   5.6e-03   1.7e-04 0.04
    61     240    3.1e+01    0    4.3e-02 -3466.20830727 -2765.00477008     0.00021977   0.001095   4.4e-03   1.8e-04 0.04
    62     250    3.4e+01    1    5.0e-02 -3466.20730949 -2765.00377229     0.00099778   0.001917   7.7e-03   1.5e-04 0.04
    63     250    3.0e+01    0    3.4e-02 -3466.20800128 -2765.00446408    -0.00069179   0.001637   6.5e-03   1.5e-04 0.04
    64     260    3.3e+01    0    7.7e-02 -3466.20790804 -2765.00437084     0.00009324   0.001484   5.9e-03   1.8e-04 0.04
    65     270    3.5e+01    0    5.2e-02 -3466.20905033 -2765.00551313    -0.00114229   0.001549   6.2e-03   2.2e-04 0.04
    66     280    3.5e+01    1    3.9e-02 -3466.20948303 -2765.00594583    -0.00043270   0.001238   5.0e-03   2.1e-04 0.04
    67     280    3.5e+01    0    3.6e-02 -3466.20824209 -2765.00470489     0.00124094   0.001200   4.8e-03   1.9e-04 0.04
    68     290    4.1e+01    0    3.8e-02 -3466.20881547 -2765.00527827    -0.00057338   0.001679   6.7e-03   2.1e-04 0.04
    69     300    4.1e+01    2    6.4e-02 -3466.20922716 -2765.00568996    -0.00041169   0.002323   9.3e-03   1.3e-04 0.04
    70     300    4.2e+01    1    4.3e-02 -3466.20857800 -2765.00504080     0.00064916   0.001571   6.3e-03   1.0e-04 0.04
    71     300    4.0e+01    0    3.7e-02 -3466.20893515 -2765.00539795    -0.00035714   0.002894   1.2e-02   1.5e-04 0.04
    72     310    4.4e+01    1    5.5e-02 -3466.20857200 -2765.00503480     0.00036315   0.001574   6.3e-03   1.3e-04 0.04
    73     310    4.3e+01    0    5.1e-02 -3466.20825043 -2765.00471323     0.00032157   0.001376   5.5e-03   1.6e-04 0.04
    74     320    4.3e+01    1    1.4e-01 -3466.20855376 -2765.00501657    -0.00030333   0.002441   9.8e-03   1.6e-04 0.04
    75     320    4.0e+01    0    4.4e-02 -3466.20844712 -2765.00490992     0.00010665   0.001462   5.8e-03   1.7e-04 0.04
    76     330    4.4e+01    1    4.0e-02 -3466.20954771 -2765.00601051    -0.00110059   0.001657   6.6e-03   1.6e-04 0.04
    77     330    4.5e+01    0    5.1e-02 -3466.20911431 -2765.00557711     0.00043340   0.001110   4.4e-03   1.7e-04 0.04
    78     340    4.9e+01    1    6.4e-02 -3466.20916185 -2765.00562466    -0.00004755   0.001160   4.6e-03   1.6e-04 0.04
    79     340    4.3e+01    0    4.9e-02 -3466.20896508 -2765.00542788     0.00019677   0.001540   6.2e-03   1.7e-04 0.04
    80     350    5.6e+01    1    4.2e-02 -3466.20877773 -2765.00524053     0.00018735   0.001851   7.4e-03   1.5e-04 0.04
    81     350    5.4e+01    0    2.8e-02 -3466.20819855 -2765.00466135     0.00057918   0.001499   6.0e-03   1.7e-04 0.04
    82     360    5.6e+01    1    4.5e-02 -3466.20891221 -2765.00537501    -0.00071366   0.002403   9.6e-03   1.7e-04 0.04
    83     360    5.5e+01    0    4.8e-02 -3466.20908081 -2765.00554361    -0.00016860   0.003138   1.3e-02   1.8e-04 0.04
    84     370    5.5e+01    1    4.4e-02 -3466.21022687 -2765.00668967    -0.00114606   0.001240   5.0e-03   1.5e-04 0.04
    85     370    5.5e+01    0    3.7e-02 -3466.20864878 -2765.00511158     0.00157809   0.002141   8.6e-03   2.1e-04 0.04
    86     380    6.1e+01    1    4.0e-02 -3466.20886304 -2765.00532584    -0.00021426   0.001344   5.4e-03   1.4e-04 0.04
    87     380    5.6e+01    1    5.9e-02 -3466.20846702 -2765.00492982     0.00039602   0.001701   6.8e-03   1.5e-04 0.04
    88     380    5.3e+01    0    4.6e-02 -3466.20887206 -2765.00533487    -0.00040504   0.001859   7.4e-03   1.7e-04 0.04
    89     390    6.0e+01    1    5.3e-02 -3466.20773800 -2765.00420080     0.00113406   0.001513   6.1e-03   1.6e-04 0.04
    90     390    5.9e+01    0    3.3e-02 -3466.21034259 -2765.00680539    -0.00260459   0.001593   6.4e-03   1.6e-04 0.04
    91     400    5.5e+01    1    5.6e-02 -3466.20802537 -2765.00448818     0.00231722   0.002859   1.1e-02   1.6e-04 0.04
    92     400    5.8e+01    0    3.3e-02 -3466.20778921 -2765.00425201     0.00023616   0.001728   6.9e-03   2.0e-04 0.04
    93     410    6.2e+01    1    5.5e-02 -3466.20990809 -2765.00637090    -0.00211888   0.001047   4.2e-03   1.8e-04 0.04
    94     410    5.5e+01    0    5.2e-02 -3466.20780184 -2765.00426464     0.00210626   0.001671   6.7e-03   2.1e-04 0.04
    95     420    5.9e+01    2    5.1e-02 -3466.20922596 -2765.00568876    -0.00142412   0.001772   7.1e-03   1.2e-04 0.04
    96     420    6.0e+01    0    3.3e-02 -3466.20748379 -2765.00394660     0.00174217   0.001137   4.5e-03   2.0e-04 0.04
    97     430    6.0e+01    1    5.1e-02 -3466.21004986 -2765.00651266    -0.00256606   0.003044   1.2e-02   1.3e-04 0.04
    98     430    6.9e+01    0    3.9e-02 -3466.21000716 -2765.00646996     0.00004270   0.001864   7.5e-03   1.6e-04 0.04
    99     440    6.8e+01    0    4.2e-02 -3466.20799415 -2765.00445695     0.00201301   0.001217   4.9e-03   2.0e-04 0.04
   100     450    7.7e+01    0    3.8e-02 -3466.20886974 -2765.00533254    -0.00087559   0.001316   5.3e-03   2.2e-04 0.04
   101     460    7.6e+01    0    8.7e-02 -3466.20920237 -2765.00566517    -0.00033263   0.001367   5.5e-03   2.2e-04 0.04
   102     470    7.5e+01    2    4.2e-02 -3466.20886655 -2765.00532935     0.00033582   0.002251   9.0e-03   9.1e-05 0.04
   103     470    7.4e+01    0    8.7e-02 -3466.20927822 -2765.00574102    -0.00041167   0.002892   1.2e-02   1.2e-04 0.04
   104     480    8.0e+01    0    4.4e-02 -3466.20834163 -2765.00480444     0.00093659   0.001308   5.2e-03   1.7e-04 0.04
   105     490    8.2e+01    0    3.5e-02 -3466.20830252 -2765.00476532     0.00003912   0.001513   6.1e-03   1.7e-04 0.04
   106     500    7.9e+01    0    4.2e-02 -3466.21075195 -2765.00721475    -0.00244943   0.001194   4.8e-03   2.1e-04 0.04
