Computing Integrals
NVIDIA GeForce RTX 4060
Elapsed time:    5.95 Seconds

Number of basis functions                   (NBF)    = 574
Number of auxiliary basis functions         (NBFAUX) = 758
Inactive Doubly occupied orbitals up to     (NO1)    = 0
No. considered Strongly Doubly occupied MOs (NDOC)   = 47
No. considered Strongly Singly occupied MOs (NSOC)   = 0
NO. of Weakly occ. per St. Doubly occ.  MOs (NCWO)   = 1
Dimension of the Nat. Orb. subspace         (NBF5)   = 94
No. of electrons                                     = 94
    No. of alpha electrons                           = 47
    No. of beta electrons                            = 47
Multiplicity                                         = 1

Geometry
========
 I       0.0000000       0.0000000       1.5420400
 C       0.0000000       0.0000000      -0.5530000
 C       0.0000000       1.2055700      -1.2382000
 C       0.0000000       1.1991100      -2.6254200
 C       0.0000000       0.0000000      -3.3209700
 C       0.0000000      -1.1991100      -2.6254200
 C       0.0000000      -1.2055700      -1.2382000
 H       0.0000000       2.1423800      -0.6975500
 H       0.0000000       2.1396800      -3.1612300
 H       0.0000000       0.0000000      -4.4032000
 H       0.0000000      -2.1396800      -3.1612300
 H       0.0000000      -2.1423800      -0.6975500

No violations of the orthonormality
No violations of the orthonormality
 
PNOF9/ADABelief Calculation
==================
 
  Nitext  Nit_orb  Time   Nit_occ  Time         Eelec          Etot           Ediff      maxdiff    MaxGrad_orb  Grad_occ
     1      10    2.3e+01   43    1.9e+01 -3201.63446105 -2669.20083582 -13200.63446105   0.003066   1.2e-02   2.6e-04 0.04
     2      20    1.5e+00    0    2.3e-02 -3203.54220712 -2671.10858188    -1.90774606   0.003066   1.2e-02   2.6e-04 0.04
     3      40    2.6e+00    0    2.4e-02 -3203.54220712 -2671.10858188     0.00000000   0.003066   1.2e-02   2.6e-04 0.04
     4      60    4.2e+00    0    2.4e-02 -3203.54285748 -2671.10923224    -0.00065036   0.004365   1.7e-02   2.6e-04 0.04
     5      70    5.2e+00    0    2.5e-02 -3203.54325130 -2671.10962607    -0.00039383   0.005293   2.1e-02   2.6e-04 0.04
     6      80    5.3e+00    0    2.5e-02 -3203.54325130 -2671.10962607     0.00000000   0.005293   2.1e-02   2.6e-04 0.04
     7     100    7.1e+00    3    4.6e-02 -3203.54086599 -2671.10724076     0.00238531   0.001741   7.0e-03   2.0e-04 0.04
     8     100    6.6e+00    0    2.7e-02 -3203.54120988 -2671.10758465    -0.00034389   0.001439   5.8e-03   1.7e-04 0.04
     9     110    7.4e+00    0    3.9e-02 -3203.54127987 -2671.10765463    -0.00006999   0.002398   9.6e-03   1.8e-04 0.04
    10     120    8.0e+00    0    3.1e-02 -3203.54128026 -2671.10765502    -0.00000039   0.002494   1.0e-02   1.9e-04 0.04
    11     130    9.8e+00    0    2.3e-02 -3203.54081263 -2671.10718740     0.00046762   0.002068   8.3e-03   2.0e-04 0.04
    12     140    1.2e+01    0    2.4e-02 -3203.54165113 -2671.10802590    -0.00083850   0.001140   4.6e-03   1.9e-04 0.04
    13     150    1.2e+01    1    3.3e-02 -3203.54144570 -2671.10782047     0.00020543   0.002736   1.1e-02   1.6e-04 0.04
    14     150    1.2e+01    0    2.2e-02 -3203.54100188 -2671.10737664     0.00044382   0.002282   9.1e-03   1.5e-04 0.04
    15     160    1.1e+01    0    2.3e-02 -3203.53900514 -2671.10537990     0.00199674   0.001607   6.4e-03   1.6e-04 0.04
    16     170    1.1e+01    0    2.6e-02 -3203.54135510 -2671.10772986    -0.00234996   0.001711   6.8e-03   1.6e-04 0.04
    17     180    1.5e+01    0    2.3e-02 -3203.53982101 -2671.10619577     0.00153409   0.002448   9.8e-03   1.6e-04 0.04
    18     190    1.3e+01    0    2.2e-02 -3203.54034697 -2671.10672173    -0.00052596   0.001997   8.0e-03   1.6e-04 0.04
    19     200    1.4e+01    0    2.5e-02 -3203.53997792 -2671.10635269     0.00036905   0.001427   5.7e-03   1.6e-04 0.04
    20     210    1.6e+01    0    2.1e-02 -3203.54072926 -2671.10710402    -0.00075134   0.001711   6.8e-03   1.8e-04 0.04
    21     220    1.8e+01    0    2.4e-02 -3203.53954395 -2671.10591871     0.00118532   0.002319   9.3e-03   1.8e-04 0.04
    22     230    1.7e+01    0    2.4e-02 -3203.54084735 -2671.10722212    -0.00130341   0.001775   7.1e-03   2.0e-04 0.04
    23     240    2.0e+01    0    2.3e-02 -3203.54196411 -2671.10833887    -0.00111676   0.002129   8.5e-03   1.9e-04 0.04
    24     250    2.0e+01    0    4.6e-02 -3203.53955534 -2671.10593011     0.00240876   0.001582   6.3e-03   1.9e-04 0.04
    25     260    2.2e+01    0    3.5e-02 -3203.54185336 -2671.10822812    -0.00229801   0.001941   7.8e-03   2.0e-04 0.04
